0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,1,0,0
0,6,0,0,0,11,0,1,0,0
0,12,0,0,0,22,0,1,0,0
0,18,0,0,0,33,0,1,0,0
0,24,0,0,0,44,0,1,0,0
0,30,0,0,0,55,0,1,0,0
0,36,0,0,0,66,0,1,0,0
0,42,0,0,0,77,0,1,0,0
0,48,0,0,0,88,0,1,0,0
0,54,0,0,0,99,0,1,0,0
0,60,0,0,0,110,0,1,0,0
0,66,0,0,0,121,0,1,0,0
0,72,0,0,0,132,0,1,0,0
0,78,0,0,0,143,0,1,0,0
0,84,0,0,0,154,0,1,0,0
0,90,0,0,0,165,0,1,0,0
0,96,0,0,0,176,0,1,0,0
0,102,0,0,0,187,0,1,0,0
0,108,0,0,0,198,0,1,0,0
0,114,0,0,0,209,0,1,0,0
0,120,0,0,0,220,0,1,0,0
0,126,0,0,0,232,0,1,0,0
0,132,0,0,0,243,0,1,0,0
0,138,0,0,0,254,0,1,0,0
0,144,0,0,1,9,0,1,0,0
0,150,0,0,1,20,0,1,0,0
0,156,0,0,1,31,0,1,0,0
0,162,0,0,1,42,0,1,0,0
0,168,0,0,1,53,0,1,0,0
0,174,0,0,1,64,0,1,0,0
0,180,0,0,1,75,0,1,0,0
0,186,0,0,1,86,0,1,0,0
0,192,0,0,1,97,0,1,0,0
0,198,0,0,1,108,0,1,0,0
0,204,0,0,1,119,0,1,0,0
0,210,0,0,1,130,0,1,0,0
0,216,0,0,1,141,0,1,0,0
0,222,0,0,1,152,0,1,0,0
0,228,0,0,1,163,0,1,0,0
0,234,0,0,1,174,0,1,0,0
0,240,0,0,1,185,0,1,0,0
0,246,0,0,1,196,0,1,0,0
0,252,0,0,1,208,0,1,0,0
1,2,0,0,1,219,0,1,0,0
1,8,0,0,1,230,0,1,0,0
1,14,0,0,1,241,0,1,0,0
1,20,0,0,1,252,0,1,0,0
1,26,0,0,2,7,0,1,0,0
1,32,0,0,2,18,0,1,0,0
1,38,0,0,2,29,0,1,0,0
1,44,0,0,2,40,0,1,0,0
